# 20190926-164806-Temperature\s,Kelvin
686.07693243,3.203452
687.080327034,3.20307
688.082762718,3.203452
689.085943699,3.20307
690.089176416,3.203452
691.092412233,3.20307
692.095515966,3.20307
693.098171949,3.20307
694.100777626,3.20307
695.104165554,3.203452
696.107196331,3.20307
697.110133171,3.20307
698.113094568,3.203452
699.116056442,3.20307
700.119118929,3.20307
