# 20191023-155404-t,V1,V2,V3,I
191.009694815,2.98915,3.19352,3.194284,0.0
192.012419462,2.988768,3.19352,3.194284,0.0
193.01554966,2.988768,3.19352,3.194284,0.0
195.022210836,2.98915,3.19352,3.194284,0.0
196.024856567,2.98915,3.19352,3.194284,0.0
197.027638912,2.988768,3.19352,3.194284,0.0
198.030352116,2.98915,3.19352,3.194284,0.0
199.032621145,2.98915,3.19352,3.194284,0.0
200.035662651,2.98915,3.193902,3.194284,0.0
201.037999392,2.98915,3.193902,3.194284,0.0
202.041066885,2.988768,3.19352,3.194284,0.0
203.043708086,2.98915,3.19352,3.194284,0.0
204.046426058,2.98915,3.19352,3.194284,0.0
205.04908967,2.98915,3.193902,3.194284,0.0
206.051810741,2.98915,3.19352,3.194284,0.0
207.054176569,2.98915,3.19352,3.194284,0.0
208.056745052,2.98915,3.19352,3.194284,0.0
209.059518814,2.98915,3.193902,3.194284,0.0
210.062532902,2.98915,3.193902,3.194284,0.0
211.065249681,2.98915,3.19352,3.194284,0.0
212.067453384,2.98915,3.19352,3.194284,0.0
213.070580721,2.98915,3.19352,3.194284,0.0
214.073321581,2.98915,3.19352,3.194284,0.0
215.07597208,2.98915,3.19352,3.194284,0.0
216.078537941,2.988768,3.19352,3.194284,0.0
217.081362247,2.98915,3.19352,3.194284,0.0
218.083759546,2.98915,3.19352,3.194284,0.0
219.086854219,2.98915,3.19352,3.194284,0.0
220.089125156,2.98915,3.19352,3.194284,0.0
221.091602325,2.98915,3.19352,3.194284,0.0
222.094996452,2.988768,3.193902,3.194284,0.0
223.097115517,2.98915,3.193902,3.194284,0.0
224.099786997,2.98915,3.193902,3.194284,0.0
225.10306859,2.98915,3.19352,3.194284,0.0
226.105283976,2.989532,3.193902,3.194284,0.0
227.107948065,2.98915,3.193902,3.194284,0.0
228.11105442,2.98915,3.19352,3.194284,0.0
229.113699675,2.98915,3.193902,3.194284,0.0
230.116395235,2.989532,3.193902,3.194284,0.0
231.119183302,2.98915,3.193902,3.194284,0.0
232.121796608,2.988768,3.19352,3.194284,0.0
233.200343132,2.988768,3.19352,3.194284,0.0
234.128156424,2.98915,3.19352,3.194284,0.0
235.130959749,2.988768,3.193902,3.194284,0.0
236.133289576,2.98915,3.19352,3.194284,0.0
237.135443449,2.98915,3.193902,3.194284,0.0
238.138544559,2.98915,3.193902,3.194284,0.0
239.141077518,2.989532,3.193902,3.194284,0.0
240.143954992,2.98915,3.193902,3.194284,0.0
241.147107124,2.98915,3.193902,3.194284,0.0
242.149363756,2.98915,3.19352,3.194284,0.0
243.152353764,2.98915,3.193902,3.194284,0.0
244.155101299,2.98915,3.193902,3.194284,0.0
245.15788722,2.98915,3.193902,3.194284,0.0
246.160436153,2.98915,3.193902,3.194284,0.0
247.163308382,2.98915,3.193902,3.194284,0.0
248.165842056,2.98915,3.193902,3.194284,0.0
249.168526411,2.98915,3.19352,3.194284,0.0
250.171309233,2.98915,3.193902,3.194284,0.0
251.173913479,2.98915,3.19352,3.194284,0.0
252.17653203,2.98915,3.193902,3.194284,0.0
253.179333687,2.98915,3.193902,3.194284,0.0
254.181962013,2.989532,3.193902,3.194284,0.0
255.18468833,2.98915,3.193902,3.194284,0.0
256.187413216,2.98915,3.193902,3.194284,0.0
257.190030336,2.98915,3.193902,3.194284,0.0
258.192712069,2.98915,3.193902,3.194284,0.0
259.195466757,2.98915,3.193902,3.194284,0.0
260.198073626,2.98915,3.193902,3.194284,0.0
261.20079875,2.98915,3.19352,3.194284,0.0
262.203426123,2.98915,3.193902,3.194284,0.0
263.206184387,2.989532,3.193902,3.194284,0.0
264.208849192,2.98915,3.193902,3.194284,0.0
265.21162653,2.98915,3.193902,3.194284,0.0
266.214226246,2.98915,3.19352,3.194284,0.0
267.216911554,2.98915,3.193902,3.194284,0.0
268.219521046,2.98915,3.193902,3.194284,0.0
269.222336531,2.98915,3.193902,3.194284,0.0
270.224810839,2.98915,3.193902,3.194284,0.0
271.227710962,2.98915,3.193902,3.194284,0.0
272.230441809,2.98915,3.193902,3.194284,0.0
273.233094454,2.98915,3.193902,3.194284,0.0
274.235701084,2.989532,3.193902,3.194284,0.0
275.238472462,2.98915,3.19352,3.194284,0.0
276.241137028,2.98915,3.19352,3.194284,0.0
277.243864775,2.98915,3.193902,3.194284,0.0
278.246547699,2.988768,3.19352,3.194284,0.0
279.248888969,2.988768,3.19352,3.194284,0.0
280.251919508,2.98915,3.19352,3.194284,0.0
281.254612446,2.98915,3.193902,3.194284,0.0
282.257296562,2.98915,3.19352,3.194284,0.0
283.26001215,2.98915,3.193902,3.194284,0.0
284.262750864,2.98915,3.19352,3.194284,0.0
285.265367746,2.98915,3.193902,3.194284,0.0
286.268045425,2.988768,3.19352,3.194284,0.0
287.270841599,2.988768,3.19352,3.194284,0.0
288.27341342,2.98915,3.193902,3.194284,0.0
289.276111126,2.98915,3.193902,3.194284,0.0
290.278885603,2.989532,3.193902,3.194284,0.0
291.280741692,2.98915,3.193902,3.194284,0.0
292.284196615,2.98915,3.193902,3.194284,0.0
293.286956787,2.98915,3.193902,3.194284,0.0
294.289618969,2.988768,3.19352,3.194284,0.0
295.292281628,2.98915,3.19352,3.194284,0.0
296.294576168,2.989532,3.193902,3.194284,0.0
297.297281504,2.98915,3.193902,3.194284,0.0
298.299859524,2.98915,3.193902,3.194284,0.0
299.303130865,2.98915,3.193902,3.194284,0.0
300.305773973,2.98915,3.19352,3.194284,0.0
301.308046103,2.98915,3.193902,3.194284,0.0
302.310733795,2.98915,3.193902,3.194284,0.0
303.312991381,2.98915,3.19352,3.194284,0.0
304.315850496,2.988768,3.19352,3.194284,0.0
305.318878174,2.98915,3.193902,3.194284,0.0
306.321227312,2.98915,3.193902,3.194284,0.0
307.324230194,2.98915,3.19352,3.194284,0.0
308.326426029,2.98915,3.193902,3.194284,0.0
309.329203129,2.98915,3.193902,3.194284,0.0
310.332078457,2.98915,3.19352,3.194284,0.0
311.334899664,2.98915,3.19352,3.194284,0.0
312.337825537,2.98915,3.19352,3.194284,0.0
313.340665817,2.98915,3.19352,3.194284,0.0
314.343043089,2.988768,3.19352,3.194284,0.0
315.345721722,2.989532,3.19352,3.194284,0.0
316.348741293,2.989532,3.19352,3.194284,0.0
317.35150671,2.98915,3.193902,3.194284,0.0
318.43841958,2.989532,3.19352,3.194284,0.0
319.357453823,2.98915,3.193902,3.194284,0.0
320.360546112,2.989532,3.19352,3.194284,0.0
321.363309145,2.98915,3.193902,3.194284,0.0
322.365357637,2.989532,3.193902,3.194284,0.0
323.368587971,2.98915,3.19352,3.194284,0.0
324.371232986,2.98915,3.19352,3.194284,0.0
325.374001265,2.98915,3.19352,3.194284,0.0
326.376690865,2.98915,3.193902,3.194284,0.0
327.379452705,2.98915,3.19352,3.194284,0.0
328.382089853,2.98915,3.19352,3.194284,0.0
329.384754896,2.98915,3.19352,3.194284,0.0
330.387555838,2.98915,3.19352,3.194284,0.0
331.389807463,2.988768,3.19352,3.194284,0.0
332.39281106,2.988768,3.19352,3.194284,0.0
333.395539522,2.98915,3.19352,3.194284,0.0
334.39827013,2.98915,3.19352,3.194284,0.0
335.400847435,2.98915,3.193902,3.194284,0.0
336.402775049,2.98915,3.19352,3.194284,0.0
337.406215429,2.988768,3.19352,3.194284,0.0
338.408946037,2.98915,3.19352,3.194284,0.0
339.411649466,2.98915,3.19352,3.194284,0.0
340.414353371,2.98915,3.19352,3.194284,0.0
341.416969776,2.988768,3.193902,3.194284,0.0
342.419711828,2.98915,3.19352,3.194284,0.0
343.422361374,2.98915,3.19352,3.194284,0.0
344.425107956,2.98915,3.19352,3.194284,0.0
345.427758694,2.98915,3.19352,3.194284,0.0
346.430457354,2.98915,3.19352,3.194284,0.0
347.433106899,2.98915,3.19352,3.194284,0.0
348.435808897,2.98915,3.193902,3.194284,0.0
349.438489199,2.98915,3.193902,3.194284,0.0
350.441196918,2.98915,3.193902,3.194284,0.0
351.443845272,2.98915,3.19352,3.194284,0.0
352.446579218,2.98915,3.19352,3.194284,0.0
353.448903561,2.98915,3.193902,3.194284,0.0
354.451313972,2.98915,3.19352,3.194284,0.0
355.455067396,2.98915,3.19352,3.194284,0.0
356.45767808,2.988768,3.193902,3.194284,0.0
357.460310221,2.98915,3.19352,3.194284,0.0
358.463139296,2.988768,3.19352,3.194284,0.0
359.465391397,2.98915,3.19352,3.194284,0.0
360.468238831,2.98915,3.193902,3.194284,0.0
361.471189022,2.98915,3.19352,3.194284,0.0
362.473389149,2.988768,3.19352,3.194284,0.0
363.476227045,2.98915,3.19352,3.194284,0.0
364.478873491,2.98915,3.19352,3.194284,0.0
365.481800079,2.988768,3.19352,3.194284,0.0
366.485180378,2.988768,3.193138,3.194284,0.0
367.487333059,2.988768,3.19352,3.194284,0.0
368.489934921,2.988768,3.19352,3.194284,0.0
369.492602348,2.98915,3.193902,3.194284,0.0
370.495382547,2.98915,3.19352,3.194284,0.0
371.497934818,2.98915,3.19352,3.194284,0.0
372.500657082,2.98915,3.19352,3.194284,0.0
373.503089428,2.988768,3.19352,3.194284,0.0
374.506049633,2.98915,3.19352,3.194284,0.0
375.508733988,2.98915,3.19352,3.194284,0.0
376.511522532,2.98915,3.19352,3.194284,0.0
377.514288187,2.98915,3.19352,3.194284,0.0
378.515991688,2.98915,3.19352,3.194284,0.0
379.518979549,2.98915,3.193902,3.194284,0.0
380.521432877,2.989532,3.19352,3.194284,0.0
381.524489403,2.98915,3.193902,3.194284,0.0
382.527178049,2.988768,3.19352,3.194284,0.0
383.529983759,2.98915,3.19352,3.194284,0.0
